,All Locations,Duration,Earliest Start Date,Application Deadline,Languages,Study Type,Pace,Tuition Fees**,url,Tuition Fees*,Tuition Fees,Study Locations,"Belgium, Brussels"
10,"France Online, France, Algeria Online, Algeria, Belgium Online, Belgium, Canada Online, Canada, Congo ROC (Brazzaville) Online, Congo, Gabon Online, Gabon, Lebanon Online, Lebanon, Liechtenstein Online, Liechtenstein, Luxembourg Online, Luxembourg, Madagascar Online, Madagascar, Martinique Online, Martinique (Fr.), Mauritius Online, Mauritius, Niger Online, Niger, French Polynesia Online, French Polynesia, Reunion Online, Reunion (Fr.), Switzerland Online, Switzerland, French Guiana Online, French Guiana, Cote d'Ivoire Online, Côte d'Ivoire",18 months,Open Enrollment,Request Info,French,Online,Part-time,,https://www.onlinestudies.com/MBA-Online-Management-of-Digital-Transformation-(ISG-EPITA)/France/IONISx/,,"EUR 13,000",,
11,"London, Canada",1 year,Request Info,Request Info*,English,Campus,Full-time,"CAD 111,750 / year",https://www.mbastudies.com/Master-of-Business-Administration/Canada/Ivey-Business-School-at-Western-University/,,,,
12,"Gatineau, Canada, Saint-Jérôme, Canada",18 - 48 months,Request Info,Request Info,French,Campus,Full-time,,https://www.mbastudies.com/Master-of-Business-Administration-(MBA)/Canada/Universite-Du-Quebec-En-Outaouais-UQO/,,Request Info,,
13,,,,,,,,,https://www.mbastudies.com/MBA-in-Global-Sports-Management-Specialisation/United-Arab-Emirates/Exeed-College/,,,,
14,"Sharjah, United Arab Emirates, Lagos, Nigeria, United Arab Emirates Online, United Arab Emirates, Cape Town, South Africa, Kuwait City, Kuwait, Riyadh, Saudi Arabia, Johannesburg, South Africa, Dammam, Saudi Arabia, Bahrain Online, Bahrain, Accra, Ghana, Toronto, Canada, Dubai, United Arab Emirates, Canada Online, Canada, Nigeria Online, Nigeria, Toronto, Canada, Cape Town, South Africa, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, Amman, Jordan, UK Online, United Kingdom",12 months,Open Enrollment,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-International-Business/United-Arab-Emirates/Westford-University-College/,"AED 34,000 / year",,,
15,"Sharjah, United Arab Emirates, Lagos, Nigeria, United Arab Emirates Online, United Arab Emirates, Cape Town, South Africa, Kuwait City, Kuwait, Riyadh, Saudi Arabia, Johannesburg, South Africa, Dammam, Saudi Arabia, Bahrain Online, Bahrain, Accra, Ghana, Toronto, Canada, Dubai, United Arab Emirates, Canada Online, Canada, Nigeria Online, Nigeria, Toronto, Canada, Cape Town, South Africa, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, Amman, Jordan",12 months,Open Enrollment,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-Health-Care-Management/United-Arab-Emirates/Westford-University-College/,"USD 9,000 / year",,,
16,"Sharjah, United Arab Emirates, Lagos, Nigeria, United Arab Emirates Online, United Arab Emirates, Cape Town, South Africa, Kuwait City, Kuwait, Riyadh, Saudi Arabia, Johannesburg, South Africa, Dammam, Saudi Arabia, Bahrain Online, Bahrain, Accra, Ghana, Toronto, Canada, Dubai, United Arab Emirates, Canada Online, Canada, Nigeria Online, Nigeria, Toronto, Canada, Cape Town, South Africa, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, Amman, Jordan, UK Online, United Kingdom",1 year,Open Enrollment,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-Data-analytics/United-Arab-Emirates/Westford-University-College/,,"AED 32,000 / year",,
17,"Sharjah, United Arab Emirates, Lagos, Nigeria, United Arab Emirates Online, United Arab Emirates, Cape Town, South Africa, Riyadh, Saudi Arabia, Johannesburg, South Africa, Dammam, Saudi Arabia, Bahrain Online, Bahrain, Dubai, United Arab Emirates, Toronto, Canada, Cape Town, South Africa, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, UK Online, United Kingdom",18 months,Open Enrollment,Request Info,English,Campus,Part-time,,https://www.mbastudies.com/MBA-in-Quality-Management/United-Arab-Emirates/Westford-University-College/,,"AED 32,000 / year",,
18,"Sharjah, United Arab Emirates, Lagos, Nigeria, United Arab Emirates Online, United Arab Emirates, Kuwait City, Kuwait, Riyadh, Saudi Arabia, Johannesburg, South Africa, Dammam, Saudi Arabia, Bahrain Online, Bahrain, Dubai, United Arab Emirates, Canada Online, Canada, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, UK Online, United Kingdom",12 months,Open Enrollment,Request Info,English,Campus,Part-time,,https://www.mbastudies.com/MBA-in-HR-and-Organisational-Psychology/United-Arab-Emirates/Westford-University-College/,,Request Info,,
19,"Sharjah, United Arab Emirates, Lagos, Nigeria, United Arab Emirates Online, United Arab Emirates, Cape Town, South Africa, Dammam, Saudi Arabia, Bahrain Online, Bahrain, Dubai, United Arab Emirates, Canada Online, Canada, Nigeria Online, Nigeria, Toronto, Canada, Cape Town, South Africa, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, Amman, Jordan",18 months,Open Enrollment,Request Info,English,Campus,Part-time,,https://www.mbastudies.com/MBA-in-Engineering-Management/United-Arab-Emirates/Westford-University-College/,,Request Info,,
20,"Surrey, Canada",24 months,Request Info,Request Info*,English,Campus,Part-time,"CAD 42,100 / year",https://www.mbastudies.com/Part-Time-MBA/Canada/Simon-Fraser-University-Beedie-School-of-Business/,,,,
21,"Vancouver, Canada",24 months,Request Info,Request Info*,English,Campus,Part-time,"CAD 37,900 / year",https://www.mbastudies.com/Management-of-Technology-MBA/Canada/Simon-Fraser-University-Beedie-School-of-Business/,,,,
22,"Vancouver, Canada",20 months,Request Info,Request Info*,English,Campus,Part-time,"CAD 57,300 / year",https://www.mbastudies.com/Executive-MBA/Canada/Simon-Fraser-University-Beedie-School-of-Business/,,,,
23,"Sharjah, United Arab Emirates, Sharjah, United Arab Emirates, Oman Online, Oman, Saudi Arabia Online, Saudi Arabia, Singapore Online, Singapore, Bahrain Online, Bahrain, India Online, India, Dubai, United Arab Emirates, Canada Online, Canada, Nigeria Online, Nigeria, Mumbai, India, Bengaluru, India, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, London, United Kingdom, Riyadh, Saudi Arabia, Jeddah, Saudi Arabia, Dammam, Saudi Arabia",1 year,Sep 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com//Masters-in-Business-Administration/United-Arab-Emirates/Exeed-College/,"AED 30,600 / year",,,
24,"Sharjah, United Arab Emirates, Sharjah, United Arab Emirates, Oman Online, Oman, Saudi Arabia Online, Saudi Arabia, Singapore Online, Singapore, Bahrain Online, Bahrain, India Online, India, Dubai, United Arab Emirates, Canada Online, Canada, Nigeria Online, Nigeria, Mumbai, India, Bengaluru, India, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, London, United Kingdom",1 year,Sep 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com//MBA-in-Global-Banking-and-Finance/United-Arab-Emirates/Exeed-College/,"AED 30,600 / year",,,
25,,,,,,,,,https://www.mbastudies.com/MBA-in-Accounting-and-Finance/United-Arab-Emirates/Exeed-College/,,,,
26,"Sharjah, United Arab Emirates, Sharjah, United Arab Emirates, Oman Online, Oman, Saudi Arabia Online, Saudi Arabia, Singapore Online, Singapore, Bahrain Online, Bahrain, India Online, India, Dubai, United Arab Emirates, Canada Online, Canada, Nigeria Online, Nigeria, Mumbai, India, Bengaluru, India, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, London, United Kingdom, Riyadh, Saudi Arabia, Jeddah, Saudi Arabia, Dammam, Saudi Arabia",1 year,Open Enrollment,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MBA-in-Global-Healthcare-Management/United-Arab-Emirates/Exeed-College/,"AED 32,000 / year",,,
27,"Sharjah, United Arab Emirates, Sharjah, United Arab Emirates, Oman Online, Oman, Saudi Arabia Online, Saudi Arabia, Singapore Online, Singapore, Bahrain Online, Bahrain, India Online, India, Dubai, United Arab Emirates, Canada Online, Canada, Nigeria Online, Nigeria, Mumbai, India, Bengaluru, India, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, London, United Kingdom, Riyadh, Saudi Arabia, Jeddah, Saudi Arabia, Dammam, Saudi Arabia",1 year,Open Enrollment,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-Business-Analytics/United-Arab-Emirates/Exeed-College/,"AED 30,600 / year",,,
28,"Sharjah, United Arab Emirates, Sharjah, United Arab Emirates, Oman Online, Oman, Saudi Arabia Online, Saudi Arabia, Singapore Online, Singapore, Bahrain Online, Bahrain, India Online, India, Dubai, United Arab Emirates, Canada Online, Canada, Nigeria Online, Nigeria, Mumbai, India, Bengaluru, India, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, London, United Kingdom, Riyadh, Saudi Arabia, Jeddah, Saudi Arabia, Dammam, Saudi Arabia",1 year,Sep 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com//MBA-in-Health-and-Safety-Leadership/United-Arab-Emirates/Exeed-College/,"AED 30,600 / year",,,
29,"Sharjah, United Arab Emirates, Sharjah, United Arab Emirates, Oman Online, Oman, Saudi Arabia Online, Saudi Arabia, Singapore Online, Singapore, Bahrain Online, Bahrain, India Online, India, Dubai, United Arab Emirates, Canada Online, Canada, Nigeria Online, Nigeria, Mumbai, India, Bengaluru, India, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, London, United Kingdom, Riyadh, Saudi Arabia, Jeddah, Saudi Arabia, Dammam, Saudi Arabia",1 year,Sep 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MBA-in-Energy-and-Sustainability/United-Arab-Emirates/Exeed-College/,"AED 30,600 / year",,,
30,"Sharjah, United Arab Emirates, Sharjah, United Arab Emirates, Oman Online, Oman, Saudi Arabia Online, Saudi Arabia, Singapore Online, Singapore, Bahrain Online, Bahrain, India Online, India, Dubai, United Arab Emirates, Canada Online, Canada, Nigeria Online, Nigeria, Mumbai, India, Bengaluru, India, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, London, United Kingdom, Riyadh, Saudi Arabia, Jeddah, Saudi Arabia, Dammam, Saudi Arabia",1 year,Sep 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com//MBA-in-Marketing-Management/United-Arab-Emirates/Exeed-College/,"AED 30,600 / year",,,
31,"Sharjah, United Arab Emirates, Sharjah, United Arab Emirates, Oman Online, Oman, Saudi Arabia Online, Saudi Arabia, Singapore Online, Singapore, Bahrain Online, Bahrain, India Online, India, Dubai, United Arab Emirates, Canada Online, Canada, Nigeria Online, Nigeria, Mumbai, India, Bengaluru, India, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, London, United Kingdom, Riyadh, Saudi Arabia, Jeddah, Saudi Arabia, Dammam, Saudi Arabia",1 year,Open Enrollment,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MBA-in-Operations-and-Project-Management/United-Arab-Emirates/Exeed-College/,"AED 30,600 / year",,,
32,,,,,,,,,https://www.mbastudies.com/MBA-in-Agile-Supply-Chain-Management/United-Arab-Emirates/Exeed-College/,,,,
33,"Oman Online, Oman, Saudi Arabia Online, Saudi Arabia, Singapore Online, Singapore, Bahrain Online, Bahrain, India Online, India, Canada Online, Canada, Nigeria Online, Nigeria, Malaysia Online, Malaysia",1 year,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-in-Artificial-Intelligence-and-Blockchain/Oman/Exeed-College/,,"AED 30,600 / year",,
34,"Sharjah, United Arab Emirates, Sharjah, United Arab Emirates, Oman Online, Oman, Saudi Arabia Online, Saudi Arabia, Singapore Online, Singapore, Bahrain Online, Bahrain, India Online, India, Dubai, United Arab Emirates, Canada Online, Canada, Nigeria Online, Nigeria, Mumbai, India, Bengaluru, India, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, London, United Kingdom, Riyadh, Saudi Arabia, Jeddah, Saudi Arabia, Dammam, Saudi Arabia",12 - 14 months,Sep 2022,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-in-Public-Relations-and-Advertising/United-Arab-Emirates/Exeed-College/,,"AED 30,600 / year",,
35,"Sharjah, United Arab Emirates, Sharjah, United Arab Emirates, Oman Online, Oman, Saudi Arabia Online, Saudi Arabia, Singapore Online, Singapore, Bahrain Online, Bahrain, India Online, India, Dubai, United Arab Emirates, Canada Online, Canada, Nigeria Online, Nigeria, Mumbai, India, Bengaluru, India, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, London, United Kingdom, Riyadh, Saudi Arabia, Jeddah, Saudi Arabia, Dammam, Saudi Arabia",1 year,Sep 2022,Request Info,English,Online,Full-time,,https://www.onlinestudies.com//Master-of-Business-Administration-General-Management/United-Arab-Emirates/Exeed-College/,,"AED 30,600 / year",,
36,"Nanaimo, Canada",Request Info,Request Info,Request Info,English,,,,https://www.mbastudies.com/Master-of-Business-Administration-(MBA)/Canada/Vancouver-Island-University/,,Request Info,,
37,"Oakville, Canada",Request Info,Request Info,Request Info,English (Canada),Online,,,https://www.onlinestudies.com/Laurier-MBA-Specialization-in-Golf-and-Resort-Management/Canada/Golf-Management-Institute-of-Canada/,,Request Info,,
38,,,,,,,,,https://www.mbastudies.com/Business-Administration/Canada/Cape-Breton-Business-College/,,,,
39,"Vancouver, Canada",0 years,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-with-Concentration-in-Finance/Canada/NYIT-Vancouver/,,Request Info,,
40,"Paris, France",2 years,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/International-MBA/France/ESLSCA-Business-School/,"EUR 14,000 / year",,,
41,"Nîmes, France",2 years,Sep 2022,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-International-Hotel-Management/France/Vatel-Nimes/,"EUR 9,500 / year",,,
42,"Paris, France",2 years,Sep 2022,Request Info*,English,Campus,Full-time,"EUR 14,930 / year",https://www.mbastudies.com/MBA-entrepreneurship-and-international-business-development/France/ABSParis/,,,,
43,"Belo Horizonte, Brazil, Raleigh, USA, Suzhou, China, Paris, France",18 - 24 months,Sep 2022,Request Info,English,Online & Campus Combined,Part-time,,https://www.mbastudies.com/Global-Executive-MBA/Brazil/SKEMA-Business-School/,"EUR 38,000",,,
44,"Pau, France",12 months,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-French-Marketing-Excellence/France/ESC-PAU-Business-School/,,"EUR 12,500 / year",,
45,"Nantes, France, Paris, France",1 year,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/Full-Time-MBA/France/Audencia-Nantes/,,"EUR 31,500 / year",,
46,"Paris, France, Madrid, Spain, London, United Kingdom, Berlin, Germany, Turin, Italy, Warsaw, Poland",1 year,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-International-Management/France/ESCPEuropeBusinessSchool/,,"EUR 46,350 / year",,
47,"Rennes, France",1 year,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/Master-of-Business-Administration-in-International-Management/France/IGR-IAE-Rennes/,"EUR 6,990 / year",,,
48,"Cergy, France, Singapore",1 year,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com//ESSEC-Global-MBA/France/ESSEC/,"EUR 50,000 / year",,,
49,"Nice, France, Paris, France, Roubaix, France",10 months,Sep 2022,31 May 2022*,English,Campus,Full-time,"EUR 46,000",https://www.mbastudies.com//EDHEC-Global-MBA/France/EDHEC-Business-School/,,,,
50,"Paris, France",20 months,Open Enrollment,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MBA-in-International-Business/France/ISC-Paris/,,"EUR 18,500 / year",,
51,"Paris, France",1 - 2 years,Sep 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com//International-MBA-1/France/ISM-Paris/,"USD 39,690 / year",,,
52,"Troyes, France",2 years,Sep 2022,11 Jul 2022,English,Campus,Full-time,,https://www.mbastudies.com//MBA-in-Tourism-Management/France/Y-SCHOOLS/,"EUR 8,000 / year",,,
53,Online,1 year,Request Info,Request Info,English,Online,Part-time,,https://www.onlinestudies.com/Executive-Master-of-Business-Administration-(EMBA)/France/International-French-University/,,"EUR 5,990",,
54,"Pau, France",12 months,Request Info,05 Jul 2022,English,Campus,Full-time,,https://www.mbastudies.com/MBA-Finance/France/ESC-PAU-Business-School/,,"EUR 12,500 / year",,
55,"Pau, France",12 months,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com//MBA-Global-Sustainable-Strategies/France/ESC-PAU-Business-School/,,"EUR 12,500 / year",,
56,"Nantes, France, São Paulo, Brazil, Paris, France",12 months,Request Info,Request Info,English,Campus,Full-time,,https://www.masterstudies.com/Master-of-Science-and-MBA-in-Food-and-Agribusiness-Management/France/Audencia-Nantes/,"EUR 16,000 / year",,,
57,"Paris, France, Roubaix, France",16 months,Mar 2022,Request Info*,English,Campus,Part-time,"EUR 43,000",https://www.mbastudies.com//Executive-MBA/France/EDHEC-Business-School/,,,,
58,"Paris, France",12 - 24 months,Open Enrollment,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MSc-International-Business-and-Marketing/France/ISC-Paris/,"EUR 15,000 / year",,,
59,,,,,,,,,https://www.mbastudies.com/International-MBA/France/ISM-Paris/,,,,
60,"Paris, France",2 years,Request Info,Request Info,"English, French",Campus,Full-time,,https://www.mbastudies.com/MBA-Specialized-Management-and-Marketing-of-Luxury-and-Fashion/France/ESLSCA-Business-School/,,"EUR 12,500 / year",,
61,"Paris, France",2 years,Request Info,Request Info,"English, French",Campus,Full-time,,https://www.mbastudies.com/MBA-Specialized-Digital-Marketing-and-E-Business/France/ESLSCA-Business-School/,,"EUR 12,500 / year",,
62,"Paris, France",1 year,Request Info,Request Info,French,Campus,Full-time,,https://www.mbastudies.com/MBA-Specialized-in-Trading-Market-Finance/France/ESLSCA-Business-School/,,"EUR 12,500 / year",,
63,"Paris, France",2 years,Request Info,Request Info,French,Campus,Full-time,,https://www.mbastudies.com/MBA-in-Logistics-and-Supply-Chain-Management/France/ESLSCA-Business-School/,,"EUR 12,500 / year",,
64,"Paris, France",1 - 2 years,Request Info,Request Info,French,Campus,Full-time,,https://www.mbastudies.com/MBA-Specialized-in-Finance/France/ESLSCA-Business-School/,,"EUR 12,500 / year",,
65,"Paris, France",1 - 2 years,Request Info,Request Info,French,Campus,Full-time,,https://www.mbastudies.com/MBA-in-International-Business-Law-Specialization-in-Compliance/France/ESLSCA-Business-School/,,"EUR 12,500 / year",,
66,"Paris, France",1 - 2 years,Request Info,Request Info,French,Campus,Full-time,,https://www.mbastudies.com/MBA-International-Business-Law-Specialization-in-Management-and-Finance/France/ESLSCA-Business-School/,,"EUR 12,500 / year",,
67,"Paris, France",Request Info,Request Info,Request Info,French,Campus,Part-time,,https://www.mbastudies.com/Executive-MBA-Financial-Engineering-Management-Strategy-and-Risks/France/ESLSCA-Business-School/,,"EUR 14,000 / year",,
68,"Paris, France",2 - 3 years,Request Info,Request Info*,English,Campus,Full-time,,https://www.mbastudies.com/Corporate-Finance-MBA/France/ESLSCA-Business-School/,,"EUR 12,500 / year",,
69,"Paris, France",1 - 2 years,Request Info,Request Info,French,Campus,Full-time,,https://www.mbastudies.com/MBA-Wealth-Management/France/ESLSCA-Business-School/,,"EUR 12,500 / year",,
70,"Paris, France",1 - 2 years,Request Info,Request Info*,French,Campus,Full-time,,https://www.mbastudies.com/MBA-in-Luxury-and-Fashion-Management-and-Marketing/France/ESLSCA-Business-School/,,"EUR 12,000 / year",,
71,"Lyon, France, Casablanca, Morocco, Saint-Étienne, France",12 months,Sep 2022,Contact school,English,Campus,Full-time,,https://www.mbastudies.com/International-MBA/France/emlyon-business-school/,"EUR 38,500 / year",,,
72,"Paris, France",15 months,Nov 2022,15 Jul 2022,English,Online & Campus Combined,Part-time,,https://www.mbastudies.com/Online-MBA-in-Luxury-Marketing/France/EIML/,"EUR 12,620 / year",,,
73,"Rennes, France",15 months,Sep 2022,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/iMBA/France/RSB/,,"EUR 20,000",,
74,"Paris, France",2 years,Oct 2022,31 Dec 2022,English,Campus,Full-time,,https://www.mbastudies.com//MBA-in-International-Hospitality-and-Luxury-Brand-Management/France/CMH/,,"EUR 9,575 / year",,
75,"Marseille, France, Paris, France, Shanghai, China",18 - 48 months,Request Info,31 Mar 2022,English,Campus,Part-time,,https://www.mbastudies.com/Global-Executive-MBA/France/Kedge-Business-School/,"EUR 41,000 / year",,,
76,"Cergy, France, Saint-Germain-en-Laye, France",1 year,Sep 2022,29 Jul 2022,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-Cybersecurity-and-IoT/France/CY-Cergy-Paris-Universite/,,"EUR 11,500 / year",,
77,"Cergy, France, Saint-Germain-en-Laye, France",1 year,Sep 2022,29 Jul 2022,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-ERP-Management/France/CY-Cergy-Paris-Universite/,,"EUR 11,500",,
78,"Paris, France",1 - 2 years,Request Info,Request Info,"French, English",Campus,Full-time,,https://www.mbastudies.com/MBA-Luxury-Brand-Marketing-and-International-Management/France/Institut-Supérieur-de-Marketing-du-Luxe-SUP-de-LUXE/,,"EUR 19,000 / year",,
79,"Paris, France",12 months,Request Info,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-Online-Luxury-Management-in-the-Digital-Age/France/Institut-Supérieur-de-Marketing-du-Luxe-SUP-de-LUXE/,,"EUR 10,500 / year",,
80,"Grenoble, France, Tbilisi, Georgia",2 years,Jul 2022,Request Info*,English,Campus,Full-time,"EUR 31,450",https://www.mbastudies.com/MBA-(Master-of-Business-Administration)/France/Grenoble-Management/,,,,
81,"Paris, France, Istanbul, Turkey",24 months,Request Info,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MBA-Fashion-Management-Apparel-Major/France/IFA-Paris/,"EUR 14,800 / year",,,
82,"Paris, France",1 year,Request Info,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MBA-Fashion-Technology/France/IFA-Paris/,"EUR 12,800 / year",,,
83,"Paris, France, Istanbul, Turkey",24 months,Request Info,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MBA-Fashion-Management-Luxury-Major/France/IFA-Paris/,"EUR 14,800 / year",,,
84,"Paris, France",24 months,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-Fashion-Management-Media-Major/France/IFA-Paris/,"EUR 14,800 / year",,,
85,"Paris, France",2 years,Sep 2022,Request Info,English,Campus,Part-time,,https://www.mbastudies.com//MBA-in-International-Marketing/France/Horizons/,"EUR 3,450 / year",,,
86,"Paris, France",2 - 3 years,Sep 2022,Request Info,English,Campus,Part-time,,https://www.mbastudies.com/MBA-in-International-Management/France/Horizons/,"EUR 3,450 / year",,,
87,"Paris, France",2 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-in-International-Fashion-Management/France/Horizons/,"EUR 3,850 / year",,,
88,"Paris, France",1 year,Sep 2022,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-in-International-Consulting/France/Horizons/,,"EUR 4,800 / course",,
89,"Paris, France, Heidelberg, Germany, Madrid, Spain, Tampa, USA",15 months,May 2022,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-International-Business/France/Schiller-International-University/,,,,
90,"Paris, France, Heidelberg, Germany, Madrid, Spain, Tampa, USA",15 months,May 2022,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/Master-of-Business-Administration/France/Schiller-International-University/,"EUR 19,560 / year",,,
91,"Fontainebleau, France",1 year,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/Master-in-Business-Administration-(MBA)/France/INSEAD/,"EUR 87,000 / year",,,
92,,,,,,,,,https://www.mbastudies.com/Global-Executive-MBA-(GEMBA)/France/INSEAD/,,,,
93,,,,,,,,,https://www.mbastudies.com/Tsinghua-INSEAD-Executive-MBA-(TIEMBA)/France/INSEAD/,,,,
94,"Amiens, France",1 year,Request Info,Request Info,"English, French",Campus,Full-time,,https://www.mbastudies.com/MBA-in-International-Trade-and-Logistics/France/ESC-Amiens-School-of-Management/,,"EUR 7,200 / year",,
95,"France Online, France, Algeria Online, Algeria, Belgium Online, Belgium, Canada Online, Canada, Congo ROC (Brazzaville) Online, Congo, Gabon Online, Gabon, Lebanon Online, Lebanon, Liechtenstein Online, Liechtenstein, Luxembourg Online, Luxembourg, Madagascar Online, Madagascar, Martinique Online, Martinique (Fr.), Mauritius Online, Mauritius, Niger Online, Niger, French Polynesia Online, French Polynesia, Reunion Online, Reunion (Fr.), Switzerland Online, Switzerland, French Guiana Online, French Guiana, Cote d'Ivoire Online, Côte d'Ivoire",18 months,Open Enrollment,Request Info,French,Online,Part-time,,https://www.onlinestudies.com/MBA-Online-Management-of-Digital-Transformation-(ISG-EPITA)/France/IONISx/,,"EUR 13,000",,
